Description,Price,Rating,Review_Count,URL
"boAt Rockerz 255 Pro+ in-Ear Earphones with 40 Hours Battery, ASAP Charge, IPX7, Bluetooth Version 5.0, 10mm Drivers and Voice Assistant(Active Black)",₹899,4.1 out of 5 stars,"347,141",https://www.amazon.in/boAt-Rockerz-255-Pro-Earphones/dp/B08TV2P1N8/ref=sr_1_37?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-37
"pTron Bassbuds Jets True Wireless Bluetooth 5.0 Headphones, 20Hrs Total Playback with Case, Deep Bass, Touch Control, IPX4 Water Resistant, Voice Assistant, Built-in Mic & Digital Display (Blue)",₹799,3.6 out of 5 stars,"73,438",https://www.amazon.in/Bassbuds-Jets-Bluetooth-Headphones-Resistant/dp/B08S1B1P3L/ref=sr_1_38?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-38
"Noise Air Buds Truly Wireless Earbuds with Mic for Crystal Clear Calls, HD Sound, Smart Touch and 20 Hour Playtime - ICY White","₹1,498",3.7 out of 5 stars,"19,119",https://www.amazon.in/Noise-Wireless-Bluetooth-Earbuds-Playtime/dp/B08H8Q5KLK/ref=sr_1_39?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-39
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(RCB Black)","₹1,999",4.0 out of 5 stars,"102,497",https://www.amazon.in/boAt-Airdopes-441-Technology-Resistance/dp/B093965XWV/ref=sr_1_40?dchild=1&keywords=boat+tws&qid=1633528260&smid=A14CZOWI0VEHLG&sr=8-40
WeCool Moonwalk Mini in Ear Earbuds with Magnetic Charging Case IPX5 Wireless Earphones with Digital Battery Indicator for Crisp Sound Bluetooth Earphones with Mic for Secure Sports Fit,₹599,3.7 out of 5 stars,"25,947",https://www.amazon.in/Moonwalk-Mini-Earphones-Indicator-Bluetooth/dp/B08NB1YRW2/ref=sr_1_41?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-41
"Quantum SonoTrix X True Wireless Earbuds TWS, 6 Hours Playback 42 Hours with Charging Case, Bluetooth 5.0, IPX5 Sweatproof, Touch Controls, Voice Assistance, Dual Mic, Type-C Fast Charging (Blue)",₹899,3.9 out of 5 stars,288,https://www.amazon.in/Quantum-SonoTrix-Bluetooth-Sweatproof-Assistance/dp/B09C1XK16C/ref=sr_1_42?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-42
"Redmi Earbuds 3 Pro, Blue, High Definition Wireless Audio with Qualcomm chipset, Dual Drivers, Up to 30 Hours Battery Life, IPX4 Splash & Sweat Proof","₹2,499",3.5 out of 5 stars,37,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A092712939SUTV02LJDD4&url=%2FRedmi-Earbuds-Definition-Wireless-Qualcomm%2Fdp%2FB09DT9HFK6%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-43-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_mtf
"Redmi Earbuds 2C in-Ear Truly Wireless Earphones with Environment Noise Cancellation, 12hrs Battery Life & IPX4 Splash Proof",₹899,3.6 out of 5 stars,"19,421",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A0222676IIUT4CZT6Q1H&url=%2FRedmi-Earbuds-Truly-Wireless-Earphones%2Fdp%2FB08J4GWSSG%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-44-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_mtf
"boAt Airdopes 201 True Wireless Earbuds with Up to 15H Total Playback, IPX4 Water Resistance, Secure Fit Earhooks, Immersive Audio and BT V5.0(Active Black)","₹1,499",3.6 out of 5 stars,"7,215",https://www.amazon.in/Airdopes-201-Wireless-Resistance-Assistant/dp/B07VTQGCF4/ref=sr_1_45?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-45
"pTron Bassbuds Duo New Bluetooth 5.1 Wireless Headphones, Stereo Audio, Touch Control TWS, Dual HD Mic, Type-C Fast Charging, IPX4 Water-Resistant, Passive Noise Cancelling & Voice Assistant (Black)",₹699,4.7 out of 5 stars,547,https://www.amazon.in/Bassbuds-Duo-Headphones-Water-Resistant-Cancelling/dp/B09DD9SX9Z/ref=sr_1_46?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-46
